t_s,w_kg,w_g
7.220681,-0.030000,-30.000
8.091225,0.000000,0.000
8.836318,-0.030000,-30.000
9.694256,-0.048000,-48.000
10.476644,-0.035000,-35.000
11.301068,-0.046000,-46.000
11.965814,-0.046000,-46.000
12.627974,-0.057000,-57.000
13.291144,-0.048000,-48.000
13.959493,-0.052000,-52.000
14.620369,-0.026000,-26.000
15.286381,-0.030000,-30.000
15.950771,-0.052000,-52.000
16.611897,-0.070000,-70.000
17.276373,0.000000,0.000
17.944440,-0.041000,-41.000
18.605473,-0.070000,-70.000
19.266583,-0.043000,-43.000
19.930798,-0.028000,-28.000
20.596041,-0.055000,-55.000
21.261351,-0.066000,-66.000
21.926058,-0.059000,-59.000
22.590674,-0.070000,-70.000
23.250605,-0.061000,-61.000
23.915855,-0.059000,-59.000
24.580789,-0.070000,-70.000
25.246273,-0.030000,-30.000
25.906433,-0.028000,-28.000
26.570684,-0.043000,-43.000
27.236257,-0.052000,-52.000
27.900685,-0.072000,-72.000
28.565859,-0.068000,-68.000
29.226225,-0.052000,-52.000
29.890954,-0.075000,-75.000
30.556042,-0.064000,-64.000
31.221182,-0.075000,-75.000
31.881413,-0.078000,-78.000
32.546147,-0.059000,-59.000
33.210713,-0.082000,-82.000
33.875891,-0.055000,-55.000
34.541560,-0.048000,-48.000
37.195947,1.668000,1668.000
39.280547,1.011000,1011.000
41.366072,1.135000,1135.000
42.031167,1.077000,1077.000
42.695771,1.095000,1095.000
43.361403,1.039000,1039.000
44.026078,1.022000,1022.000
44.690881,1.004000,1004.000
45.351738,0.950000,950.000
46.016965,0.977000,977.000
46.681235,0.977000,977.000
47.341284,0.910000,910.000
48.006179,0.910000,910.000
48.671312,0.892000,892.000
50.756228,0.713000,713.000
52.845574,-0.047000,-47.000
54.931207,3.005000,3005.000
57.585890,4.052000,4052.000
58.725573,3.803000,3803.000
60.336232,3.508000,3508.000
62.046090,3.312000,3312.000
62.710656,3.303000,3303.000
64.320414,3.393000,3393.000
64.986339,3.410000,3410.000
66.596101,3.232000,3232.000
67.260956,3.232000,3232.000
67.926241,3.196000,3196.000
68.586621,3.210000,3210.000
69.251325,3.237000,3237.000
70.392851,3.116000,3116.000
71.056073,3.116000,3116.000
71.716315,3.061000,3061.000
